================================================================================
PE HEADER ANALYSIS: LinuxLoader-terry.efi
================================================================================

File size: 741376 bytes (0xb5000)
Machine: 0xaa64 (AArch64)
Number of sections: 3
Image base: 0x0
Entry point (RVA): 0x1000
Section alignment: 0x1000
File alignment: 0x1000
Image size: 0xb5000

--- SECTIONS ---
  .text       VA=0x001000  VSize=0x094000  RawOff=0x001000  RawSize=0x094000  Chars=0x60000020
  .data       VA=0x095000  VSize=0x01d000  RawOff=0x095000  RawSize=0x01d000  Chars=0xc0000040
  .reloc      VA=0x0b2000  VSize=0x003000  RawOff=0x0b2000  RawSize=0x003000  Chars=0x42000040

.text code boundary: 0x95000

================================================================================
STRING ANALYSIS
================================================================================
Total strings extracted: 4352 (saved to all_strings.txt)

--- BOOT_FLOW (89 matches) ---
  FileOff=0x06c4ea  RVA=0x06c4ea  "LinuxLoader"
  FileOff=0x06c7b6  RVA=0x06c7b6  "VB Reset Device State error: %r"
  FileOff=0x06c811  RVA=0x06c811  "RecoveryInit failed ignore: %r"
  FileOff=0x06c842  RVA=0x06c842  "Error finding board information: %r"
  FileOff=0x06c8b7  RVA=0x06c8b7  "LoadImageAndAuth failed: %r"
  FileOff=0x06c8e8  RVA=0x06c8e8  "Failed to Launch Fastboot App: %d"
  FileOff=0x06c90b  RVA=0x06c90b  "Failed to Allocate memory for UnSafeStack "
  FileOff=0x06c983  RVA=0x06c983  "Error allocating memory"
  FileOff=0x06c9af  RVA=0x06c9af  "Partition Erase failed: %r"
  FileOff=0x06c9cb  RVA=0x06c9cb  "Error locating the reset reason protocol"
  FileOff=0x06ca08  RVA=0x06ca08  "Invalid parameter Info"
  FileOff=0x06cac9  RVA=0x06cac9  "LoadImageAndAuth failed %r"
  FileOff=0x06cafd  RVA=0x06cafd  "Error sending milestone call to TZ"
  FileOff=0x06cb3b  RVA=0x06cb3b  "GetCertFingerPrint: Invalid parameters"
  FileOff=0x06cb7c  RVA=0x06cb7c  "VB CmdLine allocation failed!"
  FileOff=0x06cb9b  RVA=0x06cb9b  "ERROR: Failed to allocate AvbOpsUserData"
  FileOff=0x06cbc5  RVA=0x06cbc5  "ERROR: Failed to allocate AvbOps"
  FileOff=0x06ccaf  RVA=0x06ccaf  "ERROR: Can not determine slot suffix"
  FileOff=0x06ccd5  RVA=0x06ccd5  "LoadImageAndAuthVB2: Error int TZ Rollback Version syscall; ScmCall Status: (0x%x)"
  FileOff=0x06cd2a  RVA=0x06cd2a  "Slot: %a, allow verification error: %a"
  FileOff=0x06cd8d  RVA=0x06cd8d  "ERROR: Device State %a,AvbSlotVerify returned %a"
  FileOff=0x06cdeb  RVA=0x06cdeb  "Invalid vm-linux partition"
  FileOff=0x06ce07  RVA=0x06ce07  "ERROR: Device State %a, AvbSlotVerify returned %a"
  FileOff=0x06ce9a  RVA=0x06ce9a  "ERROR: AvbSlotVerify slot data error: num of loaded partitions %d, requested %d"
  FileOff=0x06cf06  RVA=0x06cf06  "ERROR: Failed to allocate VB2Data"
  ... and 478 more

--- FASTBOOT_COMMANDS (302 matches) ---
  FileOff=0x06c414  RVA=0x06c414  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/MdePkg/Library/UefiBootServicesTableLib/Ue"
  FileOff=0x06c748  RVA=0x06c748  "Multi Slot boot is supported"
  FileOff=0x06c784  RVA=0x06c784  "Failed to get Reboot reason: %r"
  FileOff=0x06c7d7  RVA=0x06c7d7  "Boot reason: 0x%x not handled, defaulting to Normal Boot"
  FileOff=0x06c831  RVA=0x06c831  "Boot into OEM-1"
  FileOff=0x06c867  RVA=0x06c867  "KeyPress:%u, BootReason:%u"
  FileOff=0x06c883  RVA=0x06c883  "Fastboot=%d, Recovery:%d"
  FileOff=0x06c8d4  RVA=0x06c8d4  "Launching fastboot"
  FileOff=0x06c8e8  RVA=0x06c8e8  "Failed to Launch Fastboot App: %d"
  FileOff=0x06ca20  RVA=0x06ca20  "Booting Into Recovery Mode"
  FileOff=0x06ca3c  RVA=0x06ca3c  "Booting Into Mission Mode"
  FileOff=0x06ca86  RVA=0x06ca86  "No bootable slot"
  FileOff=0x06cb21  RVA=0x06cb21  "FreeVerifiedBootResource"
  FileOff=0x06cc4e  RVA=0x06cc4e  " androidboot.verifiedbootstate="
  FileOff=0x06cc82  RVA=0x06cc82  " androidboot.keymaster=1"
  FileOff=0x06cd52  RVA=0x06cd52  "State: Unlocked, AvbSlotVerify returned %a, continue boot"
  FileOff=0x06cf29  RVA=0x06cf29  "Invalid boot image header:%r"
  FileOff=0x06cf58  RVA=0x06cf58  "com.android.build.boot.security_patch"
  FileOff=0x06cf7e  RVA=0x06cf7e  "VB2: Authenticate complete! boot state is: %a"
  FileOff=0x06cfad  RVA=0x06cfad  "No bootable slots found enter fastboot mode"
  FileOff=0x06cfda  RVA=0x06cfda  "Non Multi-slot: Unbootable entering fastboot mode"
  FileOff=0x06d00d  RVA=0x06d00d  "VB2: boot state: %a(%d)"
  FileOff=0x06d058  RVA=0x06d058  "Boot State is : %d"
  FileOff=0x06d06c  RVA=0x06d06c  "Your device is corrupt. It can't be trusted and will not boot."
  FileOff=0x06d0d5  RVA=0x06d0d5  "Device is unlocked, Skipping boot verification"
  FileOff=0x06d2f1  RVA=0x06d2f1  "Invalid parameter BootState"
  FileOff=0x06d30e  RVA=0x06d30e  "Invalid state to boot!"
  FileOff=0x06d326  RVA=0x06d326  "KeyMasterSetRotAndBootState"
  FileOff=0x06d342  RVA=0x06d342  "KeyMasterSendRotAndBootState: Set ROT err, Status: %r, response status: %d"
  FileOff=0x06d38e  RVA=0x06d38e  "KeyMasterSendRotAndBootState: Set BootState err, Status: %r, response status: %d"
  ... and 272 more

--- FORMAT_STRINGS (316 matches) ---
  FileOff=0x03e1b5  RVA=0x03e1b5  "y%x%"
  FileOff=0x06c66f  RVA=0x06c66f  "LinuxLoader Load Address to debug ABL: 0x%llx"
  FileOff=0x06c69e  RVA=0x06c69e  "LinuxLoaderEntry Address: 0x%llx"
  FileOff=0x06c7d7  RVA=0x06c7d7  "Boot reason: 0x%x not handled, defaulting to Normal Boot"
  FileOff=0x06c883  RVA=0x06c883  "Fastboot=%d, Recovery:%d"
  FileOff=0x06c8e8  RVA=0x06c8e8  "Failed to Launch Fastboot App: %d"
  FileOff=0x06c937  RVA=0x06c937  "%s: multiple partitions found."
  FileOff=0x06ca57  RVA=0x06ca57  "Err: line:%d %a() status: %r"
  FileOff=0x06ca98  RVA=0x06ca98  "MultiSlot %a, partition name %s"
  FileOff=0x06cab9  RVA=0x06cab9  "AVB version %d"
  FileOff=0x06ccd5  RVA=0x06ccd5  "LoadImageAndAuthVB2: Error int TZ Rollback Version syscall; ScmCall Status: (0x%x)"
  FileOff=0x06cdcf  RVA=0x06cdcf  "Recovery HeaderVersion %d "
  FileOff=0x06ce69  RVA=0x06ce69  "NumLoadedPartition(%d) too large max images(%d)"
  FileOff=0x06ce9a  RVA=0x06ce9a  "ERROR: AvbSlotVerify slot data error: num of loaded partitions %d, requested %d"
  FileOff=0x06ceeb  RVA=0x06ceeb  "Total loaded partition %d"
  FileOff=0x06cf47  RVA=0x06cf47  "DateSupport: %d"
  FileOff=0x06d00d  RVA=0x06d00d  "VB2: boot state: %a(%d)"
  FileOff=0x06d058  RVA=0x06d058  "Boot State is : %d"
  FileOff=0x06d25a  RVA=0x06d25a  "keymaster app id %d"
  FileOff=0x06d26f  RVA=0x06d26f  "KeyMasterStartApp: Get Version err, status: %d, response status: %d, Major: %d"
  FileOff=0x06d2bf  RVA=0x06d2bf  "KeyMasterStartApp success AppId: 0x%x, Major: %d"
  FileOff=0x06d342  RVA=0x06d342  "KeyMasterSendRotAndBootState: Set ROT err, Status: %r, response status: %d"
  FileOff=0x06d38e  RVA=0x06d38e  "KeyMasterSendRotAndBootState: Set BootState err, Status: %r, response status: %d"
  FileOff=0x06d4c4  RVA=0x06d4c4  "Set Vbh Error, Status: %r, response status: %d"
  FileOff=0x06d52c  RVA=0x06d52c  "Keymaster: Get date support error, status: %d, response status: %d"
  FileOff=0x06e958  RVA=0x06e958  "ReadSecurityState: Locate SCM Status: (0x%x)"
  FileOff=0x06e987  RVA=0x06e987  "ReadSecurityState: ScmSipSysCall Status: (0x%x)"
  FileOff=0x06e9b9  RVA=0x06e9b9  "ReadSecurityState: ScmSysCall failed: Status = (0x%x)"
  FileOff=0x06eaf1  RVA=0x06eaf1  "TZ didn't support this feature! Version: major = %d, minor = %d, patch = %d"
  FileOff=0x06eb78  RVA=0x06eb78  "UpdateRollbackSyscall: Locate SCM Status: (0x%x)"
  ... and 286 more

--- LOCK_STATE (45 matches) ---
  FileOff=0x06cd52  RVA=0x06cd52  "State: Unlocked, AvbSlotVerify returned %a, continue boot"
  FileOff=0x06cdbf  RVA=0x06cdbf  "Unlocked"
  FileOff=0x06cdc8  RVA=0x06cdc8  "Locked"
  FileOff=0x06d0d5  RVA=0x06d0d5  "Device is unlocked, Skipping boot verification"
  FileOff=0x06d870  RVA=0x06d870  "assert fail: ops->read_is_device_unlocked != NULL"
  FileOff=0x06e5c8  RVA=0x06e5c8  "unlocked"
  FileOff=0x0722b3  RVA=0x0722b3  "flashing get_unlock_ability"
  FileOff=0x0722cf  RVA=0x0722cf  "flashing unlock"
  FileOff=0x0722ed  RVA=0x0722ed  "oem get_unlock_bootloader_nonce"
  FileOff=0x07230d  RVA=0x07230d  "flashing get_unlock_bootloader_nonce"
  FileOff=0x072332  RVA=0x072332  "flashing unlock_bootloader"
  FileOff=0x07234d  RVA=0x07234d  "flashing unlock_critical"
  FileOff=0x072551  RVA=0x072551  "IsAllowUnlock is %d"
  FileOff=0x07258e  RVA=0x07258e  "unlock_bootloader"
  FileOff=0x07282e  RVA=0x07282e  "Invalid OEM Unlock-allow Request"
  FileOff=0x072865  RVA=0x072865  "Unlock-allow request cannot be reused."
  FileOff=0x07288c  RVA=0x07288c  "OEM Unlock-allow Request Failed"
  FileOff=0x0728ac  RVA=0x0728ac  "Fastboot unlock is now allowed."
  FileOff=0x0733c5  RVA=0x0733c5  "get_unlock_ability: %d"
  FileOff=0x0733f1  RVA=0x0733f1  "unlocked!"
  FileOff=0x0733fb  RVA=0x0733fb  "Flashing Unlock is not allowed"
  FileOff=0x0734af  RVA=0x0734af  "OEM Unlock Request Failed:%r"
  FileOff=0x0734cd  RVA=0x0734cd  "OEM Unlock Request Failed"
  FileOff=0x0734e7  RVA=0x0734e7  "Unlock Request: %016lx%a"
  FileOff=0x073510  RVA=0x073510  "Device unlocked: %a"
  FileOff=0x073524  RVA=0x073524  "Device critical unlocked: %a"
  FileOff=0x073559  RVA=0x073559  "Device unsealed: %a"
  FileOff=0x074077  RVA=0x074077  "Boot partition is locked."
  FileOff=0x0740cd  RVA=0x0740cd  "Failed to set sealed state"
  FileOff=0x0740fb  RVA=0x0740fb  "Adb is now locked"
  ... and 15 more

--- MEMORY_OPS (3 matches) ---
  FileOff=0x0711d2  RVA=0x0711d2  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/ArmPkg/Library/BaseMemoryLibStm/ZeroMemWra"
  FileOff=0x0713f1  RVA=0x0713f1  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/ArmPkg/Library/BaseMemoryLibStm/SetMemWrap"
  FileOff=0x0714a7  RVA=0x0714a7  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/ArmPkg/Library/BaseMemoryLibStm/CopyMemWra"

--- PORTAL_SPECIFIC (52 matches) ---
  FileOff=0x06c414  RVA=0x06c414  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/MdePkg/Library/UefiBootServicesTableLib/Ue"
  FileOff=0x06c517  RVA=0x06c517  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/out/ABL_OBJ/Build/DEBUG_CLANG35/AARCH64/QcomModulePkg/Application/L"
  FileOff=0x06d672  RVA=0x06d672  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/QcomModulePkg/Library/avb/libavb/avb_prope"
  FileOff=0x06d7e0  RVA=0x06d7e0  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/QcomModulePkg/Library/avb/libavb/avb_slot_"
  FileOff=0x06e7c3  RVA=0x06e7c3  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/QcomModulePkg/Library/avb/libavb/avb_util."
  FileOff=0x06ed31  RVA=0x06ed31  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/QcomModulePkg/Library/avb/libavb/avb_vbmet"
  FileOff=0x06fa6b  RVA=0x06fa6b  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/QcomModulePkg/Library/avb/libavb/avb_chain"
  FileOff=0x07082f  RVA=0x07082f  "@/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/QcomModulePkg/Library/avb/libavb/avb_desc"
  FileOff=0x070a37  RVA=0x070a37  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/QcomModulePkg/Library/avb/libavb/avb_foote"
  FileOff=0x070af5  RVA=0x070af5  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/QcomModulePkg/Library/avb/libavb/avb_hash_"
  FileOff=0x070b9c  RVA=0x070b9c  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/QcomModulePkg/Library/avb/libavb/avb_kerne"
  FileOff=0x070c57  RVA=0x070c57  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/QcomModulePkg/Library/avb/libavb/avb_rsa.c"
  FileOff=0x0710c6  RVA=0x0710c6  "Dl/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/MdePkg/Library/UefiMemoryAllocationLib/M"
  FileOff=0x0711d2  RVA=0x0711d2  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/ArmPkg/Library/BaseMemoryLibStm/ZeroMemWra"
  FileOff=0x0712af  RVA=0x0712af  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/ArmPkg/Library/BaseMemoryLibStm/CompareMem"
  FileOff=0x0713f1  RVA=0x0713f1  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/ArmPkg/Library/BaseMemoryLibStm/SetMemWrap"
  FileOff=0x0714a7  RVA=0x0714a7  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/ArmPkg/Library/BaseMemoryLibStm/CopyMemWra"
  FileOff=0x0748af  RVA=0x0748af  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/QcomModulePkg/Library/BootLib/ShutdownServ"
  FileOff=0x074aa7  RVA=0x074aa7  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/QcomModulePkg/Library/BootLib/Board.c"
  FileOff=0x0779ca  RVA=0x0779ca  "androidboot.hardware=cipher"
  FileOff=0x07b828  RVA=0x07b828  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/MdePkg/Library/UefiDevicePathLib/DevicePat"
  FileOff=0x07ba00  RVA=0x07ba00  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/MdeModulePkg/Library/PeiDxeDebugLibReportS"
  FileOff=0x07bacc  RVA=0x07bacc  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/MdePkg/Library/BaseLib/LShiftU64.c"
  FileOff=0x07bb48  RVA=0x07bb48  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/MdePkg/Library/BaseLib/DivU64x64Remainder."
  FileOff=0x07bbcf  RVA=0x07bbcf  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/MdePkg/Library/BaseLib/DivU64x32.c"
  FileOff=0x07bc40  RVA=0x07bc40  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/MdePkg/Library/BaseLib/SafeString.c"
  FileOff=0x07bf4d  RVA=0x07bf4d  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/MdePkg/Library/BaseLib/String.c"
  FileOff=0x07c55c  RVA=0x07c55c  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/MdePkg/Library/BaseLib/Arm/Unaligned.c"
  FileOff=0x07c5d1  RVA=0x07c5d1  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/MdePkg/Library/BaseLib/RShiftU64.c"
  FileOff=0x07d27c  RVA=0x07d27c  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2/MdePkg/Library/UefiRuntimeServicesTableLib"
  ... and 22 more

--- UEFI_FUNCTIONS (14 matches) ---
  FileOff=0x06c4c2  RVA=0x06c4c2  "gST != ((void *) 0)"
  FileOff=0x06c4d6  RVA=0x06c4d6  "gBS != ((void *) 0)"
  FileOff=0x06c4f7  RVA=0x06c4f7  "ASSERT_EFI_ERROR (Status = %r)"
  FileOff=0x06c5b6  RVA=0x06c5b6  "!EFI_ERROR (Status)"
  FileOff=0x06ea29  RVA=0x06ea29  "LocateProtocol failed for SetFuse!"
  FileOff=0x06ea70  RVA=0x06ea70  "LocateProtocol failed for GetFuse!"
  FileOff=0x06ec92  RVA=0x06ec92  "LocateProtocol failed for ScmGetFeatureVersion!"
  FileOff=0x0749b0  RVA=0x0749b0  "Locate EFI_RAMPARTITION_Protocol failed, Status = %r "
  FileOff=0x0749e7  RVA=0x0749e7  "WARNING: Unsupported EFI_RAMPARTITION_PROTOCOL"
  FileOff=0x074d9d  RVA=0x074d9d  "Locate EFI_RAMPARTITION_Protocol failed, Status =  (0x%x)"
  FileOff=0x078a41  RVA=0x078a41  "BufferSize * sizeof (EFI_GRAPHICS_OUTPUT_BLT_PIXEL) overflow"
  FileOff=0x079806  RVA=0x079806  "HandleActiveSlotUnbootable: gRT->Resetystem didn't work"
  FileOff=0x07b8dd  RVA=0x07b8dd  "(Length >= sizeof (EFI_DEVICE_PATH_PROTOCOL)) && (Length < 0x00010000)"
  FileOff=0x07d313  RVA=0x07d313  "gRT != ((void *) 0)"

================================================================================
FASTBOOT COMMAND TABLE SEARCH
================================================================================
  CMD string 'flash:' at FileOff=0x07229a RVA=0x07229a
  CMD string 'erase:' at FileOff=0x0722a1 RVA=0x0722a1
  CMD string 'continue' at FileOff=0x0723bd RVA=0x0723bd
  CMD string 'reboot-bootloader' at FileOff=0x07241d RVA=0x07241d
  CMD string 'getvar:' at FileOff=0x07242f RVA=0x07242f
  OEM/flashing cmd 'unlock_bootloader' at FileOff=0x07258e RVA=0x07258e
  OEM/flashing cmd 'get_unlock_ability: %d' at FileOff=0x0733c5 RVA=0x0733c5
  OEM/flashing cmd 'battery-soc' at FileOff=0x073a9f RVA=0x073a9f
  OEM/flashing cmd 'battery-cycle' at FileOff=0x073acd RVA=0x073acd

================================================================================
POINTER TABLE SEARCH (command dispatch tables)
================================================================================

Searching .data section (VA=0x95000, size=0x1d000)...

--- ADRP+ADD patterns referencing key strings ---

  Key string RVAs to search for:
    'Fastboot: Processing commands' -> RVA 0x071633 (page=0x071000, offset=0x633)
    'Download Finished' -> RVA 0x071ef3 (page=0x071000, offset=0xef3)
    'unknown command' -> RVA 0x07211b (page=0x072000, offset=0x11b)
    'flash:' -> RVA 0x07229a (page=0x072000, offset=0x29a)
    'oem device-info' -> RVA 0x07237d (page=0x072000, offset=0x37d)
    'download' -> RVA 0x072437 (page=0x072000, offset=0x437)
    'Flashing is not allowed' -> RVA 0x0725f8 (page=0x072000, offset=0x5f8)
    'Portal is starting up in developer mode' -> RVA 0x096c76 (page=0x096000, offset=0xc76)

  XREF: 'Fastboot: Processing commands' referenced at code RVA 0x00e688
    ADRP x1, #0x71000 ; ADD x1, x1, #0x633

  XREF: 'Fastboot: Processing commands' referenced at code RVA 0x00ea38
    ADRP x1, #0x71000 ; ADD x1, x1, #0x633

  XREF: 'Fastboot: Processing commands' referenced at code RVA 0x00eb80
    ADRP x1, #0x71000 ; ADD x1, x1, #0x633

  XREF: 'Download Finished' referenced at code RVA 0x00fed8
    ADRP x1, #0x71000 ; ADD x1, x1, #0xef3

  XREF: 'unknown command' referenced at code RVA 0x0105c0
    ADRP x0, #0x72000 ; ADD x0, x0, #0x11b

  XREF: 'Flashing is not allowed' referenced at code RVA 0x0122b8
    ADRP x0, #0x72000 ; ADD x0, x0, #0x5f8

================================================================================
DOWNLOAD HANDLER ANALYSIS (CVE-2021-1931 target)
================================================================================

  Code around 'Download Finished' reference at 0x00fed8:
    0x00fe88: 397ba2a8
    0x00fe8c: 36000928
    0x00fe90: b0000496
    0x00fe94: b9000fff
    0x00fe98: 913c42d6
    0x00fe9c: a941b6cc
    0x00fea0: cb0d018e
    0x00fea4: eb1401df
    0x00fea8: 9a9431cf
    0x00feac: 8b0d01f0
    0x00feb0: eb0c021f
    0x00feb4: f90012d0
    0x00feb8: 54000941
    0x00febc: 9400a8ac
    0x00fec0: 12001c0a
    0x00fec4: 3400012a
    0x00fec8: 321a03e0
    0x00fecc: 9400a8b9
    0x00fed0: 12001c0b
    0x00fed4: 340000ab
    0x00fed8: d0000301 <---
    0x00fedc: 913bcc21
    0x00fee0: 321a03e0
    0x00fee4: 9400a75b
    0x00fee8: 910033e0
    0x00feec: 940020bf
    0x00fef0: b9400fe9
    0x00fef4: f9400ec8
    0x00fef8: f94026d2
    0x00fefc: 4b0903f1

================================================================================
FUNCTION CALL DENSITY (BL instruction hotspots)
================================================================================
  Region 0x002000: 182 BL calls
  Region 0x014000: 182 BL calls
  Region 0x022000: 176 BL calls
  Region 0x001000: 171 BL calls
  Region 0x031000: 171 BL calls
  Region 0x013000: 170 BL calls
  Region 0x021000: 167 BL calls
  Region 0x025000: 166 BL calls
  Region 0x012000: 165 BL calls
  Region 0x024000: 164 BL calls
  Region 0x010000: 158 BL calls
  Region 0x01b000: 156 BL calls
  Region 0x038000: 151 BL calls
  Region 0x030000: 148 BL calls
  Region 0x011000: 147 BL calls
  Region 0x01e000: 147 BL calls
  Region 0x016000: 144 BL calls
  Region 0x01f000: 135 BL calls
  Region 0x057000: 135 BL calls
  Region 0x043000: 134 BL calls

================================================================================
SPECIFIC EXPLOIT-RELEVANT PATTERNS
================================================================================

  'Flashing is not allowed' references: ['0x122b8']

  'unknown command' references: ['0x105c0']

--- Function prologues (STP X29, X30, [SP, ...]) ---
  Found 69 potential function starts
  'Fastboot: Processing commands' at 0x00e688 is in function starting at 0x00b8c8 (offset +0x2dc0)
  'Fastboot: Processing commands' at 0x00ea38 is in function starting at 0x00b8c8 (offset +0x3170)
  'Fastboot: Processing commands' at 0x00eb80 is in function starting at 0x00b8c8 (offset +0x32b8)
  'Download Finished' at 0x00fed8 is in function starting at 0x00f6d0 (offset +0x808)
  'unknown command' at 0x0105c0 is in function starting at 0x00f6d0 (offset +0xef0)
  'Flashing is not allowed' at 0x0122b8 is in function starting at 0x012024 (offset +0x294)

================================================================================
OPCODE PATTERN SEARCH
================================================================================

  Searching for BL to FAIL response pattern...

  Searching for 'CMP w1, #0x200' pattern...

  Searching for 'LDR x0, [x22, #0x38]' (download buf ptr pattern)...

  Searching for 'MOV W0, #1' pattern (common in lock state set)...
    Found 0 occurrences

